conf,pred,true
0.73651665,1,1
0.87466276,2,2
0.42338875,2,2
0.9203532,2,2
0.83682925,2,0
0.9062118,2,2
0.8366447,2,2
0.71586907,1,0
0.6959635,1,1
0.8139898,2,2
0.91624534,2,2
0.84045786,2,2
0.8515179,2,2
0.7361776,1,1
0.8116469,2,2
0.8378702,2,2
0.8307965,2,0
0.5770501,2,1
0.8959247,2,0
0.9110194,2,2
0.6649661,2,2
0.8626478,2,0
0.722236,1,1
0.74329007,2,2
0.9126586,2,0
0.8784176,2,2
0.7325842,2,0
0.9077959,2,2
0.8878746,2,2
0.8824789,2,2
0.7678719,2,1
0.90232325,2,0
0.8581431,2,2
0.7354693,1,1
0.8354844,2,2
0.4356442,2,0
0.73651356,1,1
0.8146767,2,2
0.9062529,2,2
0.85144186,2,2
0.6262938,1,0
0.9001454,2,2
0.7312035,1,1
0.86896783,2,2
0.86387163,2,2
0.8949133,2,2
0.8371697,2,2
0.49012768,1,0
0.73301697,1,1
0.8998495,2,2
0.8523849,2,2
0.8536897,2,2
0.8248922,2,2
0.83364505,2,2
0.8930731,2,2
0.40774322,1,2
0.870667,2,2
0.8712614,2,2
0.72330314,1,1
0.87809664,2,0
0.8470984,2,0
0.82636267,2,2
0.8877341,2,0
0.87946963,2,2
0.8151868,2,2
0.87270254,2,2
0.7629832,2,2
0.7354693,1,0
0.8488517,2,2
0.7364909,1,2
0.8481837,2,2
0.7283861,1,0
0.7364245,1,1
0.44455066,1,0
0.90485984,2,2
0.7340874,1,1
0.7604089,2,2
0.7596926,2,2
0.8996023,2,2
0.7364708,1,2
0.8835665,2,2
0.76192516,2,0
0.75919443,2,2
0.8986173,2,2
0.8518116,2,1
0.7327748,2,2
0.89205664,2,2
0.9031151,2,0
0.60052884,2,2
0.85330236,2,2
0.8349096,2,2
0.73651683,1,0
0.73493665,1,2
0.8677115,2,0
0.8689514,2,2
0.88570625,2,2
0.82914406,2,2
0.71030986,1,0
0.68447816,2,2
0.73626107,1,1
0.89001817,2,0
0.8121392,2,2
0.8811586,2,2
0.8037448,2,2
0.7666152,2,2
0.8500543,2,2
0.81978434,2,2
0.8877375,2,1
0.8646297,2,2
0.7518514,2,2
0.831166,2,2
0.66199017,2,2
0.8955967,2,2
0.85173106,2,2
0.72329867,2,2
0.6059729,1,1
0.8247709,2,0
0.8448143,2,2
0.7938262,2,0
0.8859233,2,2
0.893471,2,2
0.4180639,1,0
0.9114645,2,2
0.915976,2,2
0.86069447,2,0
0.74258906,2,1
0.8880122,2,2
0.90345174,2,2
0.43255123,1,0
0.73629516,1,0
0.8783527,2,0
0.7352175,1,0
0.8262459,2,2
0.8888758,2,2
0.8939662,2,2
0.8814044,2,2
0.66852206,2,2
0.87648124,2,2
0.8154273,2,2
0.7624535,2,0
0.82608724,2,2
0.8345731,2,2
0.8869878,2,2
0.8919082,2,2
0.847896,2,0
0.91779613,2,2
0.82488096,2,1
0.85237706,2,2
0.82574207,2,2
0.9056066,2,2
0.85144955,2,2
0.72770894,1,1
0.8497949,2,2
0.7403138,2,1
0.7364786,1,2
0.8811363,2,2
0.49744052,1,1
0.8350187,2,2
0.8666119,2,2
0.4511361,2,1
0.8891649,2,2
0.863604,2,2
0.7294666,1,2
0.4703043,2,2
0.91817755,2,2
0.897936,2,2
0.8695794,2,2
0.8566047,2,2
0.7696089,2,2
0.70245343,1,2
0.80556643,2,2
0.41048446,1,0
0.8655145,2,2
0.8330741,2,2
0.43289915,2,1
0.8600068,2,2
0.81800336,2,2
0.7304804,1,1
0.7225157,2,1
0.8956097,2,2
0.7356178,1,2
0.8918028,2,2
0.9012781,2,2
0.8468827,2,2
0.87039673,2,0
0.62950826,2,0
0.8455104,2,2
0.6489824,2,2
0.8422406,2,2
0.8879024,2,2
0.73651254,1,1
0.7534986,2,2
0.89338005,2,2
0.8226738,2,2
0.8143644,2,1
0.7358199,1,1
0.7345733,1,1
0.84769714,2,0
0.91701716,2,2
0.6671902,2,0
0.9320512,2,2
0.7910492,2,2
0.71102744,1,2
0.87852037,2,2
0.9073401,2,2
0.8950884,2,2
0.7802798,2,0
0.68046117,2,2
0.8356753,2,2
0.46810508,2,2
0.8716159,2,0
0.78336525,2,0
0.48503688,2,1
0.88406956,2,2
0.7629832,2,2
0.6236025,2,2
0.86462766,2,2
0.50764465,2,2
0.6256943,1,0
0.84876376,2,2
0.8092629,2,2
0.7689715,2,2
0.8291871,2,0
0.736462,1,0
0.90621895,2,2
0.8442124,2,2
0.92389446,2,0
0.72919273,1,1
0.868668,2,2
0.8687602,2,2
0.9172798,2,2
0.8646241,2,2
0.48959407,1,0
0.7007956,1,1
0.8799963,2,2
0.8260047,2,2
0.6756595,2,2
0.9008762,2,2
0.7726055,2,2
0.7285795,1,2
0.73651445,1,1
0.5273483,1,0
0.76956147,2,0
0.5029198,2,2
0.75897646,2,0
0.88782346,2,2
0.8837143,2,2
0.881409,2,2
0.8426188,2,2
0.8514169,2,2
0.871133,2,2
0.7817862,2,2
0.90522724,2,2
0.89257944,2,0
0.493054,1,0
0.8741619,2,2
0.7261474,1,2
0.7335876,1,1
0.7198294,2,2
0.87482816,2,2
0.3641257,1,1
0.90683186,2,2
0.34540987,1,2
0.73294795,2,1
0.79044384,2,2
0.6453706,1,1
0.91779,2,2
0.39721745,1,0
0.7392323,2,2
0.7455888,2,2
0.73491025,1,2
0.9013144,2,2
0.8297694,2,2
0.8284293,2,2
0.8565903,2,2
0.8022196,2,1
0.89995825,2,2
0.7332802,1,1
0.73359823,1,1
0.5041563,2,0
0.84861034,2,2
0.89742535,2,2
0.84909505,2,0
0.88532525,2,0
0.735541,1,2
0.86374664,2,2
0.913954,2,0
0.8146112,2,2
0.819648,2,0
0.54897726,1,2
0.52993673,2,2
0.7639808,2,2
0.9083413,2,2
0.87553406,2,2
0.90148497,2,2
0.7342897,1,2
0.8148372,2,2
0.734775,1,1
0.7162611,1,1
0.82339674,2,2
0.8748149,2,2
0.6976565,1,1
0.9076165,2,2
0.8947373,2,2
0.8516014,2,2
0.88613373,2,2
0.85956913,2,2
0.7353875,1,1
0.78269273,2,2
0.72365046,2,0
0.8261759,2,2
0.9153495,2,2
0.87191594,2,2
0.8349658,2,2
0.8267855,2,2
0.44536275,2,1
0.86836505,2,2
0.833732,2,2
0.86317897,2,2
0.76984835,2,2
0.8731543,2,2
0.7102867,1,2
0.80450565,2,0
0.6458432,1,0
0.7714714,2,2
0.57788193,2,2
0.88849396,2,2
0.80000013,2,2
0.8997898,2,2
0.7364157,1,1
0.7356158,1,1
0.89057016,2,2
0.82647157,2,0
0.91072553,2,2
0.75512886,2,0
0.53838795,2,1
0.87387705,2,2
0.83186215,2,0
0.7363725,1,1
0.42530605,1,0
0.60906684,2,1
0.8570342,2,2
0.87700975,2,2
0.817481,2,0
0.73777175,2,0
0.72504985,1,1
0.9290726,2,2
0.8382864,2,0
0.5987817,2,2
0.87709063,2,2
0.839066,2,2
0.66254556,2,2
0.7269824,1,0
0.86701673,2,2
0.9145378,2,2
0.873475,2,2
0.8738056,2,2
0.8901198,2,2
0.7895737,2,2
0.85666835,2,0
0.65660536,2,0
0.856986,2,2
0.9073931,2,2
0.84621894,2,2
0.7822161,2,2
0.86759037,2,2
0.83258337,2,2
0.59637654,1,0
0.791841,2,1
0.825692,2,2
0.82790726,2,1
0.8641796,2,2
0.6870858,2,2
0.82645404,2,0
0.7354552,1,1
0.6129527,2,1
0.5399035,2,2
0.80917764,2,1
0.84302694,2,2
0.85337603,2,0
0.88803935,2,2
0.868164,2,1
0.86548823,2,2
0.896494,2,2
0.8302696,2,2
0.89501864,2,2
0.8251749,2,2
0.8380221,2,2
0.8762563,2,0
0.73540974,1,0
0.5261922,1,1
0.82561177,2,0
0.8548534,2,2
0.8483393,2,2
0.90148574,2,2
0.7899223,2,0
0.72371024,1,0
0.86573887,2,2
