,conf,prediction,true
0,0.57155675,2,1
1,0.57155675,2,2
2,0.57155675,2,2
3,0.57155716,2,2
4,0.5715565,2,0
5,0.57155657,2,2
6,0.57155657,2,2
7,0.5715563,2,0
8,0.57155544,2,1
9,0.571556,2,2
10,0.57155657,2,2
11,0.5715551,2,2
12,0.5715567,2,2
13,0.571555,2,1
14,0.5715569,2,2
15,0.5715571,2,2
16,0.5715557,2,0
17,0.5715551,2,1
18,0.5715554,2,0
19,0.57155734,2,2
20,0.5715555,2,2
21,0.57155687,2,0
22,0.5715553,2,1
23,0.571556,2,2
24,0.5715562,2,0
25,0.571557,2,2
26,0.57155645,2,0
27,0.5715565,2,2
28,0.5715555,2,2
29,0.57155645,2,2
30,0.57155603,2,1
31,0.5715551,2,0
32,0.5715562,2,2
33,0.5715549,2,1
34,0.5715559,2,2
35,0.57155544,2,0
36,0.57155544,2,1
37,0.5715558,2,2
38,0.5715562,2,2
39,0.57155603,2,2
40,0.5715556,2,0
41,0.5715571,2,2
42,0.5715548,2,1
43,0.57155573,2,2
44,0.57155526,2,2
45,0.57155675,2,2
46,0.57155603,2,2
47,0.5715555,2,0
48,0.5715557,2,1
49,0.57155555,2,2
50,0.5715553,2,2
51,0.5715559,2,2
52,0.5715553,2,2
53,0.5715558,2,2
54,0.5715571,2,2
55,0.57155496,2,2
56,0.5715559,2,2
57,0.5715558,2,2
58,0.571555,2,1
59,0.5715559,2,0
60,0.57155585,2,0
61,0.57155555,2,2
62,0.57155603,2,0
63,0.57155704,2,2
64,0.5715558,2,2
65,0.5715558,2,2
66,0.5715543,2,2
67,0.5715549,2,0
68,0.5715556,2,2
69,0.571556,2,2
70,0.5715559,2,2
71,0.571555,2,0
72,0.57155603,2,1
73,0.5715557,2,0
74,0.571556,2,2
75,0.5715558,2,1
76,0.5715576,2,2
77,0.57155555,2,2
78,0.5715559,2,2
79,0.5715556,2,2
80,0.5715564,2,2
81,0.5715563,2,0
82,0.57155573,2,2
83,0.5715562,2,2
