Epoch,Loss,Accuracy,ECE
0,0.7513728141784668,0.4709,60.7191092222929
1,1.3090829849243164,0.6144,50.556511249393225
2,1.0116682052612305,0.6536,50.40081034321338
3,0.5920493006706238,0.6661,50.75904483301565
4,1.051808476448059,0.6829,51.47107971319929
5,0.4274664521217346,0.6897,49.9887019880116
6,0.40943893790245056,0.7159,48.09677005978301
7,0.4704873263835907,0.7004,48.97743864543736
8,0.5670832991600037,0.7139,50.16418040078133
9,0.4579943120479584,0.7062,53.152570620179176
10,0.680362343788147,0.7136,55.257003591395915
11,0.3431800305843353,0.7152,57.012964070774615
12,0.6588695049285889,0.7204,56.15162214823067
13,0.2752910852432251,0.7199,59.24894770607352
14,0.1412649005651474,0.7079,61.25200780900195
