Epoch,Loss,Accuracy,ECE
0,1.3503663539886475,0.5441,62.65547549864277
1,1.0560564994812012,0.6334,51.24321674788371
2,1.2614390850067139,0.6498,50.50050969561562
3,0.6006236672401428,0.666,51.78785750223324
4,1.3930872678756714,0.7003,48.34975593583658
5,0.7142137885093689,0.6913,48.75953043997288
6,0.6486082077026367,0.6965,49.85127472691238
7,0.6238626837730408,0.704,48.835445205215365
8,0.8435392379760742,0.7077,52.1184162190184
9,0.5589416027069092,0.719,51.952362990006804
10,0.4802655875682831,0.6977,55.52075914340094
11,0.3725878894329071,0.7039,57.64325514854863
12,0.41129207611083984,0.707,61.09940881840885
13,0.46377134323120117,0.7032,61.264649684075266
14,0.4429880380630493,0.7084,62.27645706478506
