Epoch,Loss_train,ECE_train,Loss_eval,ECE_eval
0,389.53,130.28575998358428,197.91164,82.26548055559397
1,365.8311,125.72285792790353,197.52112,81.22858766838908
2,343.3927,123.22632904164493,200.21962,79.03796597570181
3,324.07092,119.55349601060152,198.9812,77.82474736869335
4,303.03683,113.91016267612576,203.42387,76.26382744684815
5,284.92538,110.25927303358912,206.47519,76.15183656290174
6,270.58847,104.93044819682837,214.04018,75.66207135096192
7,251.4441,103.20548366196454,219.81569,76.14397512748837
8,237.67604,98.02879039756954,225.54512,78.2072824575007
9,220.93436,92.13609716668725,237.98587,78.68781130388379
10,211.09573,89.53665077127516,243.39862,80.19073439016938
11,195.96187,86.38594772480428,251.80913,76.9822265803814
12,183.94301,80.68169531039894,261.70062,80.54716924577951
13,176.8162,79.10042659565806,272.82678,79.43758638575673
14,166.97983,75.61246862448752,279.2828,81.79294503480196
